ano,id_municipio,incremento,PibPercapita,pib
2018,2109502,0,17440,353041901
2018,2109700,0,44918,254370033
2018,2110658,0,29569,217717003
2018,2110807,0,10135,46713322
2018,2111573,0,11526,53609053
2018,2111607,0,22252,417333502
2018,2111904,0,7306,77724760
2018,2112001,0,137687,1164694951
2018,5106851,0.3,17507,53396333
2018,5107008,0.1,31602,518932103
2018,5107040,0,64818,3956358767
2018,5107065,70.6,97090,1651884094
2018,5107107,0.2,20023,379785201
2018,5107156,1.5,14087,38330561
2018,5107180,1.6,35068,353521169
2018,5107206,0.2,17439,89967003
2018,5107248,14.5,87539,392701417
2018,5107263,2.1,24224,75966629
2018,5107297,0,11079,44549960
2018,5107305,10.8,41671,846424833
2018,5107354,1.7,52780,293932696
2018,5107404,0,11653,54466516
2018,5107578,72.5,16820,66706948
2018,5107602,0.1,49042,11223535999
2018,5107701,0,18303,315492507
2018,5107743,20.6,43807,109299303
2018,5107750,0.7,16903,58097147
2018,5107768,0,177534,591189038
2018,5107776,11,19240,159325668
2018,5107792,0,79055,397091134
2018,5107800,0.2,30133,495173681
2018,5107859,33,57652,669627609
2018,5107875,0.5,116764,2925397914
2018,5107883,9,24274,39371876
2018,5107909,34.7,45051,6304175934
2018,5107925,0.5,68895,6050020821
2018,5107941,9.4,43668,417681220
2018,5107958,0.7,31823,3238473093
2018,5108006,9.5,67011,895198579
2018,5108055,4.9,26456,260912014
2018,5108303,29.1,43678,155582555
2018,5108352,0.4,19192,60033208
2018,5108501,7.1,46717,523977187
2018,5108600,3.1,19897,508773604
2018,5108808,2.7,18174,83200186
2018,5108857,0.4,56654,184067664
2018,5108907,41.6,59115,498217825
2018,5108956,17.3,22687,205953819
2018,5100201,0,43513,1097796400
2018,5100250,8.7,28252,1458249036
2018,5100359,44.7,16536,110114359
2018,5100508,0.3,10931,122837391
2018,5100805,29.4,15527,154943438
2018,5101001,0,22070,68837289
2018,5101258,0.1,27012,450831051
2018,5101308,0.7,17219,167264328
2018,5101407,113.6,37216,818257439
2018,5101605,0.8,10677,91427374
2018,5101704,3,38012,1315941778
2018,5101803,0,31280,1897482415
2018,5101852,4.3,46962,303002022
2018,5101902,15.4,50176,965779332
2018,5102504,2.3,20194,1895808762
2018,5102603,0,18210,288266897
2018,5102637,0,104853,3623523331
2018,5102678,0.1,56887,2438785119
2018,5102686,0.4,206667,1386733225
2018,5102694,1.7,28327,134865680
2018,5102702,0.1,59701,1272295555
2018,5102793,2.4,15982,166418152
2018,5102850,3.6,15614,135765879
2018,5103007,0,37923,742826038
2018,5103056,50.4,35421,426891509
2018,5103106,0.4,26612,151446606
2018,5103205,2.5,26507,880677964
2018,5103254,238.7,14626,545245274
2018,5103304,32.4,33952,696467176
2018,5103353,15.5,27816,844124240
2018,5103361,0.1,23877,94864099
2018,5103379,22.9,11183,215316566
2018,5103403,0,39043,23705265878
2018,5103437,0,20224,105004567
2018,5103452,0,57803,542020684
2018,5103502,4.1,104683,2292986377
2018,5103601,0,44952,368558506
2018,5103700,63.2,31425,435459522
2018,5103809,0.1,17461,61759423
2018,5103858,8.7,44467,334079009
2018,5103957,0,22868,69634425
2018,5104104,4.2,25003,887530778
2018,5104203,0,25157,378237220
2018,5104500,0,21047,57352348
2018,5104526,1.1,114518,846860376
2018,5104542,12.4,43552,286875466
2018,5104559,21.4,47640,185844436
2018,5104609,0,89125,1173156490
2018,5104807,0,33430,923609120
2018,5105002,0.5,30134,271385542
2018,5105101,26,21348,743237552
2018,5105150,22.5,25196,1030630822
2018,5105176,4.5,12142,186629407
2018,5105200,0.2,29714,335030348
2018,5105234,0.5,31208,189090144
2018,5105259,2.2,72059,4569316856
2018,5105309,1,14789,31042290
2018,5105507,10.7,19847,317206737
2018,5105580,22.1,29694,317724518
2018,5105606,5.6,46169,754125794
2018,5105622,0.5,27955,769778716
2018,5105903,0.2,43680,669961119
2018,5106000,0.6,20205,122363597
2018,5106109,0,22109,292519452
2018,5106158,62.4,14818,220927582
2018,5106174,0,19421,73118927
2018,5106182,6,27744,181054531
2018,5106190,2.7,47232,174711050
2018,5106208,0,17279,67871497
2018,5106216,15.8,30133,383866038
2018,5106224,7,75175,3301610522
2018,5106232,0.2,35898,719177687
2018,5106240,23.5,92588,1082729462
2018,5106257,0,30537,648326043
2018,5106265,14,22314,200605040
2018,5106273,0,14905,59397510
2018,5106281,0,58140,302269497
2018,5106299,42.5,56766,635377789
2018,5106307,30.9,29945,666152583
2018,5106315,3.8,14722,37895049
2018,5106372,0,42995,750516568
2018,5106422,24.4,15681,542655892
2018,5106455,0,25409,67993641
2018,5106505,0.8,16474,539826623
2018,5106752,3.2,29595,1334531660
2018,5106778,0.8,18762,231655648
2018,5106802,32.6,71499,388169142
