ano,id_municipio,incremento
2016,1300029,4.1
2017,1300029,4.3
2018,1300029,5.8
2019,1300029,2.9
2020,1300029,5.5
2002,1300060,0
2003,1300060,1.1
2004,1300060,0.8
2005,1300060,0
2006,1300060,0.1
2007,1300060,0.1
2008,1300060,0.1
2009,1300060,0.9
2010,1300060,1
2011,1300060,1.4
2012,1300060,0.1
2013,1300060,0.5
2014,1300060,0.5
2015,1300060,0.6
2016,1300060,0.2
2017,1300060,0.6
2018,1300060,0.4
2019,1300060,0
2020,1300060,0.2
2002,1300086,1.3
2003,1300086,1.9
2004,1300086,0.3
2005,1300086,0.5
2006,1300086,0.1
2007,1300086,0.5
2008,1300086,0.1
2009,1300086,1.2
2010,1300086,2.6
2011,1300086,0.8
2012,1300086,0.9
2013,1300086,0.8
2014,1300086,0.6
2015,1300086,1
2016,1300086,0
2017,1300086,1
2018,1300086,0.3
2019,1300086,0.4
2020,1300086,0.7
2002,1300102,1.4
2003,1300102,2
2004,1300102,1.1
2005,1300102,2
2006,1300102,0.6
2007,1300102,0
2008,1300102,0.9
2009,1300102,0.6
2010,1300102,0.5
2011,1300102,0.6
2012,1300102,0.6
2013,1300102,0.8
2014,1300102,0.7
2015,1300102,0.6
2016,1300102,0.4
2017,1300102,0.2
2018,1300102,0.1
2019,1300102,0
2020,1300102,0.3
2002,1300144,32.9
2003,1300144,51.6
2004,1300144,132.4
2005,1300144,145.9
2006,1300144,80.4
2007,1300144,94
2008,1300144,70.7
2009,1300144,64.2
2010,1300144,45.9
2011,1300144,49.2
2012,1300144,74.8
2013,1300144,86.1
2014,1300144,80.1
2015,1300144,107.2
2016,1300144,161.8
2017,1300144,170
2018,1300144,161.7
2019,1300144,288.7
2020,1300144,260.1
2002,1300201,19.9
2003,1300201,6.9
2004,1300201,2.8
2005,1300201,3
2006,1300201,0.2
2007,1300201,1.5
2008,1300201,1.2
2009,1300201,1.5
2010,1300201,2.5
2011,1300201,1.7
2012,1300201,1.6
2013,1300201,1.1
2014,1300201,0.7
2015,1300201,0.1
2016,1300201,1
2017,1300201,1.3
2018,1300201,0.7
2019,1300201,2.7
2020,1300201,1
2002,1300300,43.8
2003,1300300,21
2004,1300300,25
2005,1300300,29.1
2006,1300300,16.2
2007,1300300,18
2008,1300300,40.9
2009,1300300,9.9
2010,1300300,5.7
2011,1300300,23.7
2012,1300300,14.3
2013,1300300,9.1
2014,1300300,14.5
2015,1300300,23.2
2016,1300300,6.3
2017,1300300,20.2
2018,1300300,14.1
2019,1300300,35
2020,1300300,23
2002,1300409,2.2
2003,1300409,7.5
2004,1300409,4.7
2005,1300409,1
2006,1300409,0.7
2007,1300409,1.2
2008,1300409,1.5
2009,1300409,0.5
2010,1300409,3.5
2011,1300409,1.6
2012,1300409,1.3
2013,1300409,0.9
2014,1300409,1.9
2015,1300409,0.3
2016,1300409,1
2017,1300409,1.1
2018,1300409,1.2
2019,1300409,11.6
2020,1300409,1.3
2002,1300508,1.1
2003,1300508,17
2004,1300508,3.7
2005,1300508,5.8
2006,1300508,4.4
2007,1300508,4.6
2008,1300508,7.9
2009,1300508,2.7
2010,1300508,13.9
2011,1300508,5
2012,1300508,2.8
2013,1300508,3
2014,1300508,6.2
2015,1300508,5.7
2016,1300508,1.8
2017,1300508,3.5
2018,1300508,1.6
